Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida,Superficie útil,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Planta,Gastos de comunidad,Superficie solar,Exterior,Interior
Apartamento en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),3.200,100,Anuncio actualizado el 12/09/2024,Consumo:275 kWh/m² año,Emisiones:58 Kg CO₂/m² año,Alquiler,100 m²,,2,2,,Más de 50 años,,IF77045-I-00KZBR-W-02VNCT,6ª,,,,
Ático en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),9.850,270,Anuncio actualizado el 20/09/2024,Consumo:109 kWh/m² año,Emisiones:22 Kg CO₂/m² año,Alquiler,270 m²,,3,5,,Más de 50 años,,IF77045-I-00L0IS-W-02W8HK,9ª,,,,
"Piso en alquiler en Calle Gran Vía, cerca de Calle de Chinchilla",Sol (Distrito Centro. Madrid Capital),4.600,182,Anuncio actualizado el 26/10/2024,,,Alquiler,182 m²,,2,2,,,A estrenar,XA633-4508,8ª,,,,
Ático en alquiler en Galapagar,La Navata (Galapagar),1.700,117,Anuncio actualizado el 27/10/2024,,,Alquiler,117 m²,,3,2,,,,GM34-194829,,,,Exterior,
Apartamento en alquiler en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),1.700,45,Anuncio actualizado el 06/08/2024,,,Alquiler,45 m²,,1,1,,,,IF77045-I-00L1P5-W-02WORL,,,,,
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),1.080,62,Anuncio actualizado el 17/10/2024,,,Alquiler,62 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1921,2ª,,,,
Piso en alquiler en Nueva España,El Viso (Distrito Chamartín. Madrid Capital),1.800,86,Anuncio actualizado el 11/10/2024,,,Alquiler,86 m²,78 m²,3,1,,Más de 50 años,,VE92-121-00432,,,,,
Piso en alquiler en Chamartin,Ciudad Jardín (Distrito Chamartín. Madrid Capital),895,45,Anuncio actualizado el 19/10/2024,,,Alquiler,45 m²,,1,1,,,En buen estado,XA24-2800-032197,2ª,,,,
Ático en alquiler en Imperial,Imperial (Distrito Arganzuela. Madrid Capital),3.730,191,Anuncio actualizado el 04/07/2024,,,Alquiler,191 m²,,3,2,,Menos de 5 años,,IF77045-I-00KZ12-W-02VOJT,10ª,,,,
Apartamento en alquiler en Calle de Génova,Almagro (Distrito Chamberí. Madrid Capital),6.750,187,Anuncio actualizado el 21/05/2024,Consumo:34 kWh/m² año,Emisiones:6 Kg CO₂/m² año,Alquiler,187 m²,,3,3,,,,IF77045-I-00K0FK-W-02N3QV,,,,,
Apartamento en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),1.800,58,Anuncio actualizado el 21/10/2024,Consumo:257 kWh/m² año,Emisiones:53 Kg CO₂/m² año,Alquiler,58 m²,,2,2,,Más de 50 años,,IF77045-I-00L3WP-W-02XFIR,,,,,
"Apartamento en alquiler en Paseo de la Habana, cerca de Calle de Herreros de Tejada",Hispanoamérica (Distrito Chamartín. Madrid Capital),8.000,287,Anuncio actualizado el 18/10/2024,,,Alquiler,287 m²,,5,4,,Entre 30 y 50 años,,IF77045-I-00KUTZ-W-02UF7V,,,,,
Apartamento en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),2.950,105,Anuncio actualizado el 21/05/2024,Consumo:40 kWh/m² año,Emisiones:8 Kg CO₂/m² año,Alquiler,105 m²,,2,2,,,,IF77045-I-00K3RN-W-02NWSF,,,,,
Apartamento en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.800,140,Anuncio actualizado el 21/05/2024,,,Alquiler,140 m²,,2,2,,,,IF77045-I-00KIBR-W-02RK7A,1ª,,,,
Piso en alquiler en Calle de José Antonio Zapata,Legazpi (Distrito Arganzuela. Madrid Capital),1.540,84,Anuncio actualizado el 27/10/2024,,,Alquiler,84 m²,63 m²,2,,,,,XA614-12553,2ª,,,,
Piso en alquiler en Salamanca,Lista (Distrito Salamanca. Madrid Capital),3.600,166,Anuncio actualizado el 24/10/2024,,,Alquiler,166 m²,,4,2,,,En buen estado,XA24-2800-031825,4ª,,,,
Apartamento en alquiler en Calle de La Unión,Palacio (Distrito Centro. Madrid Capital),2.500,85,Anuncio actualizado el 17/10/2024,Consumo:413 kWh/m² año,Emisiones:86 Kg CO₂/m² año,Alquiler,85 m²,,2,2,,Más de 50 años,,IF77045-I-00L3YC-W-02XBKK,,,,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),930,58,Anuncio actualizado el 19/08/2024,,,Alquiler,58 m²,,2,1,,,En buen estado,SA3458-2001/20010001/624,2ª,,,,
"Casa en alquiler en Calle Calle del Escudo, Número .",Puerto de Galapagar-Las Cuestas (Galapagar),2.200,478,Anuncio actualizado el 14/09/2024,,,Alquiler,478 m²,478 m²,5,5,,,,EP442-795995,,,,,
Apartamento en alquiler en Calle del Barco,Sol (Distrito Centro. Madrid Capital),2.800,84,Anuncio actualizado el 21/05/2024,,,Alquiler,84 m²,,1,1,,,,IF77045-I-00KIBW-W-02RKA3,1ª,,,,
Apartamento en alquiler en Calle de Bailén,Palacio (Distrito Centro. Madrid Capital),2.500,117,Anuncio actualizado el 25/10/2024,Consumo:83 kWh/m² año,Emisiones:16 Kg CO₂/m² año,Alquiler,117 m²,,2,2,,Entre 5 y 10 años,,IF77045-I-00L36Q-W-02X6FQ,4ª,,,,
"Apartamento en alquiler en Calle de Matilde Landa, cerca de Calle del General Pintos",Almenara (Distrito Tetuán. Madrid Capital),2.150,45,Anuncio actualizado el 19/08/2024,,,Alquiler,45 m²,,,1,,,,IF77045-I-00KW8F-W-02UWQ3,,,,,
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),935,64,Anuncio actualizado el 08/07/2024,,,Alquiler,64 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1763,5ª,,,,
Piso en alquiler en Pozuelo de Alarcón,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),1.355,44,Anuncio actualizado el 26/10/2024,,,Alquiler,44 m²,,1,1,,,,GM34-198608,,,,Exterior,
Ático en alquiler en Distrito Salamanca,Castellana (Distrito Salamanca. Madrid Capital),16.500,463,Anuncio actualizado el 25/10/2024,,,Alquiler,463 m²,,4,5,,,A estrenar,XA633-5923,8ª,,,,
Piso en alquiler en Villa de Vallecas,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),950,50,Anuncio actualizado el 21/10/2024,,,Alquiler,50 m²,,1,1,,,En buen estado,XA24-2809-032096,6ª,,,,
"Apartamento en alquiler en Paseo de la Habana, cerca de Calle de Herreros de Tejada",Hispanoamérica (Distrito Chamartín. Madrid Capital),9.250,287,Anuncio actualizado el 18/10/2024,,,Alquiler,287 m²,,5,4,,Entre 30 y 50 años,,IF77045-I-00KUTX-W-02UF7V,,,,,
Piso en alquiler en Calle de Francisco Remiro,Fuente del Berro (Distrito Salamanca. Madrid Capital),1.480,77,Anuncio actualizado el 28/10/2024,,,Alquiler,77 m²,54 m²,1,,,,,XA614-1966,1ª,,,,
Apartamento en alquiler en Castillejos,Castillejos (Distrito Tetuán. Madrid Capital),1.350,56,Anuncio actualizado el 08/10/2024,Consumo:403 kWh/m² año,Emisiones:68 Kg CO₂/m² año,Alquiler,56 m²,,1,1,,,,IF77045-I-00L3CN-W-02X8F7,,,,,
Piso en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),3.150,170,Anuncio actualizado el 28/10/2024,,,Alquiler,170 m²,150 m²,4,3,,,En buen estado,SA3051-02488,5ª,,,,
Apartamento en alquiler en Ríos Rosas,Ríos Rosas (Distrito Chamberí. Madrid Capital),3.500,151,Anuncio actualizado el 30/09/2024,Consumo:191 kWh/m² año,Emisiones:37 Kg CO₂/m² año,Alquiler,151 m²,,3,2,,Más de 50 años,,IF77045-I-00L3BH-W-02X7PC,,,,,
"Piso en alquiler en Calle de Laponia, 15",Horcajo (Distrito Moratalaz. Madrid Capital),1.235,69,Anuncio actualizado el 20/10/2024,,,Alquiler,69 m²,,2,2,,,En buen estado,SA5100-2200/22000041/00000034,3ª,,,,
Piso en alquiler en San Blas,Canillejas (Distrito San Blas. Madrid Capital),1.250,90,Anuncio actualizado el 24/10/2024,,,Alquiler,90 m²,,3,1,,,En buen estado,XA24-2814-032267,3ª,,,,
Apartamento en alquiler en Hospital,Hospital (Valdemoro),1.275,120,Anuncio actualizado el 23/10/2024,Consumo:29 kWh/m² año,Emisiones:6 Kg CO₂/m² año,Alquiler,120 m²,,2,2,,Menos de 5 años,,IF77045-I-00L450-W-02XHZ2,5ª,,,,
Piso en alquiler en Cármenes,Cármenes (Distrito Latina. Madrid Capital),1.600,80,Anuncio actualizado el 28/10/2024,Consumo:169 kWh/m² año,Emisiones:35 Kg CO₂/m² año,Alquiler,80 m²,76 m²,3,2,,Más de 50 años,En buen estado,SA3051-08182,2ª,,,,
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),3.490,180,Anuncio actualizado el 25/10/2024,Consumo:109 kWh/m² año,Emisiones:22 Kg CO₂/m² año,Alquiler,180 m²,142 m²,3,3,,Más de 50 años,,SA3689-EXP07850/8930,5ª,Más de 100 €,,,
Apartamento en alquiler en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),2.750,84,Anuncio actualizado el 21/05/2024,Consumo:40 kWh/m² año,Emisiones:8 Kg CO₂/m² año,Alquiler,84 m²,,2,2,,,,IF77045-I-00K3RP-W-02NWSG,,,,,
Piso en alquiler en La Tenería I-La Tenería Ii,La Tenería I-La Tenería II (Pinto),1.030,69,Anuncio actualizado el 28/10/2024,,,Alquiler,69 m²,55 m²,2,,,,,XA614-12692,3ª,,,,
Piso en alquiler en Almenara,Almenara (Distrito Tetuán. Madrid Capital),1.125,63,Anuncio actualizado el 12/09/2024,,,Alquiler,63 m²,,2,1,,,En buen estado,SA4376-2110/21100022/155,3ª,,,,
Piso en alquiler en Centro,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.300,60,Anuncio actualizado el 28/10/2024,,,Alquiler,60 m²,55 m²,1,1,,Más de 50 años,,GB18-UNI3287 PISO EN ALQUILER EN CENTRO - UNIVERSIDAD,1ª,,,,
Apartamento en alquiler en Arapiles,Arapiles (Distrito Chamberí. Madrid Capital),3.900,233,Anuncio actualizado el 11/10/2024,Consumo:235 kWh/m² año,Emisiones:46 Kg CO₂/m² año,Alquiler,233 m²,,3,2,,Más de 50 años,,IF77045-I-00L3RF-W-02XCZT,,,,,
Casa en alquiler en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),10.000,650,Anuncio actualizado el 25/10/2024,,,Alquiler,650 m²,,,4,,Entre 10 y 20 años,,IF77045-I-00L413-W-02XA7R,,,4.200 m²,,
Chalet adosado en alquiler en Valenoso,El Olivar de Mirabal (Boadilla del Monte),3.500,340,Anuncio actualizado el 17/10/2024,,,Alquiler,340 m²,,4,4,,Más de 50 años,,GM34-198880,,,70 m²,,
Apartamento en alquiler en Cuatro Caminos,Cuatro Caminos (Distrito Tetuán. Madrid Capital),3.000,159,Anuncio actualizado el 21/10/2024,Consumo:172 kWh/m² año,Emisiones:36 Kg CO₂/m² año,Alquiler,159 m²,,3,3,,Más de 50 años,,IF77045-I-00L3Z4-W-02XFJC,11ª,,,,
Apartamento en alquiler en Distrito Salamanca,Recoletos (Distrito Salamanca. Madrid Capital),1.900,62,Anuncio actualizado el 23/10/2024,,,Alquiler,62 m²,,1,1,,,En buen estado,XA633-2308,3ª,,,,
Piso en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),1.000,55,Anuncio actualizado el 27/08/2024,,,Alquiler,55 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1750,1ª,,,,
Piso en alquiler en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.940,87,Anuncio actualizado el 25/10/2024,,,Alquiler,87 m²,,4,2,,,En buen estado,SA4376-2110/21100022/411,1ª,,,,
Apartamento en alquiler en Palos de Moguer,Palos de Moguer (Distrito Arganzuela. Madrid Capital),1.350,50,Anuncio actualizado el 28/10/2024,Consumo:280 kWh/m² año,Emisiones:59 Kg CO₂/m² año,Alquiler,50 m²,,2,1,,,,IF77045-I-00L3XG-W-02XE9I,3ª,,,,
Piso en alquiler en Arganzuela,Delicias (Distrito Arganzuela. Madrid Capital),1.550,70,Anuncio actualizado el 23/10/2024,,,Alquiler,70 m²,,3,1,,,En buen estado,XA24-2818-031483,,,,,
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),995,56,Anuncio actualizado el 19/08/2024,,,Alquiler,56 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1724,2ª,,,,
Piso en alquiler en Calle de Eguilaz,Trafalgar (Distrito Chamberí. Madrid Capital),2.500,100,Anuncio actualizado el 18/10/2024,,,Alquiler,100 m²,,3,1,,,En buen estado,SA2484-3248-24168,3ª,,,,
Piso en alquiler en Almagro,Almagro (Distrito Chamberí. Madrid Capital),4.950,178,Anuncio actualizado el 28/10/2024,,,Alquiler,178 m²,131 m²,2,3,,,En buen estado,SA3051-07354,5ª,,,,
Piso en alquiler en Pozuelo de Alarcón,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),1.305,46,Anuncio actualizado el 26/10/2024,,,Alquiler,46 m²,,1,1,,,,GM34-180903,,,,Exterior,
Apartamento en alquiler en Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),1.800,103,Anuncio actualizado el 09/10/2024,,,Alquiler,103 m²,,2,2,,,,IF77045-I-00L3JZ-W-02XA0N,,,,,
Piso en alquiler en Calle de la Condesa del Venadito,San Pascual (Distrito Ciudad Lineal. Madrid Capital),1.880,108,Anuncio actualizado el 27/10/2024,,,Alquiler,108 m²,81 m²,3,,,,,XA614-11693,8ª,,,,
Apartamento en alquiler en Cuatro Caminos,Cuatro Caminos (Distrito Tetuán. Madrid Capital),3.500,141,Anuncio actualizado el 03/10/2024,Consumo:84 kWh/m² año,Emisiones:18 Kg CO₂/m² año,Alquiler,141 m²,,3,3,,Más de 50 años,,IF77045-I-00L2PW-W-02X0DN,11ª,,,,
Chalet adosado en alquiler en El Pinar-Punta Galea,Club de Golf-Molino de la Hoz (Las Rozas de Madrid),2.700,350,Anuncio actualizado el 15/10/2024,,,Alquiler,350 m²,,6,3,,Más de 50 años,,GM34-199841,,,,,
Casa en alquiler en Calle Hermano Crisanto,Torrelaguna,750,96,Anuncio actualizado el 23/10/2024,,,Alquiler,96 m²,90 m²,2,2,,Entre 5 y 10 años,,SA5582-101024-TORRE-LEO-LRC/11764,,,,,
Apartamento en alquiler en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.600,70,Anuncio actualizado el 05/10/2024,,,Alquiler,70 m²,,1,1,,Más de 50 años,,IF77045-I-00KR5D-W-02TIE6,,,,,
Piso en alquiler en Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),995,56,Anuncio actualizado el 27/10/2024,,,Alquiler,56 m²,39 m²,,,,,,XA614-12443,5ª,,,,
Piso en alquiler en Palacio,Palacio (Distrito Centro. Madrid Capital),2.200,57,Anuncio actualizado el 28/10/2024,,,Alquiler,57 m²,55 m²,1,1,,,En buen estado,SA3051-03562_,7ª,,,,
Casa en alquiler en La Moraleja,La Moraleja (La Moraleja),9.000,600,Anuncio actualizado el 21/05/2024,,,Alquiler,600 m²,,5,4,,,,IF77045-I-00KYJE-W-02VOHY,,,,,
Ático en alquiler en Ciudad Lineal,Quintana (Distrito Ciudad Lineal. Madrid Capital),1.250,54,Anuncio actualizado el 28/10/2024,,,Alquiler,54 m²,,2,1,,,En buen estado,XA24-2804-032051,5ª,,,,
Apartamento en alquiler en Chopera,Chopera (Distrito Arganzuela. Madrid Capital),1.480,54,Anuncio actualizado el 24/10/2024,,,Alquiler,54 m²,,3,1,,Más de 50 años,,IF77045-I-00L3WT-W-02XDX1,3ª,,,,
Apartamento en alquiler en Palacio,Palacio (Distrito Centro. Madrid Capital),3.300,95,Anuncio actualizado el 14/10/2024,,,Alquiler,95 m²,,2,2,,Entre 30 y 50 años,,IF77045-I-00L3SY-W-02XC1S,,,,,
Piso en alquiler en Comillas,Comillas (Distrito Carabanchel. Madrid Capital),1.080,66,Anuncio actualizado el 10/10/2024,,,Alquiler,66 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1760,2ª,,,,
Piso en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),2.850,160,Anuncio actualizado el 28/10/2024,,,Alquiler,160 m²,150 m²,3,3,,,En buen estado,SA3051-03294,6ª,,,,
Piso en alquiler en Valdebebas-Valdefuentes,Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),1.650,104,Anuncio actualizado el 28/10/2024,,,Alquiler,104 m²,100 m²,2,2,,Menos de 5 años,En buen estado,SA3051-06818,7ª,,,,
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),1.030,57,Anuncio actualizado el 22/10/2024,,,Alquiler,57 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1919,2ª,,,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),920,58,Anuncio actualizado el 03/10/2024,,,Alquiler,58 m²,,2,1,,,En buen estado,SA3458-2001/20010001/617,2ª,,,,
Apartamento en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.030,84,Anuncio actualizado el 20/08/2024,,,Alquiler,84 m²,,1,1,,,,IF77045-I-00KL4D-W-02S84I,3ª,,,,
"Piso en alquiler en Calle de Ibiza, cerca de Calle del Alcalde Sáinz de Baranda",Ibiza (Distrito Retiro. Madrid Capital),2.000,60,Anuncio actualizado el 15/10/2024,Consumo:73 kWh/m² año,Emisiones:18 Kg CO₂/m² año,Alquiler,60 m²,52 m²,1,1,,Más de 50 años,En buen estado,SA2484-3248-24159,3ª,,,,
"Estudio en alquiler en Calle del General Arrando, 18",Almagro (Distrito Chamberí. Madrid Capital),1.350,62,Anuncio actualizado el 16/10/2024,,,Alquiler,62 m²,56 m²,,1,,Más de 50 años,En buen estado,SA2484-3248-23957,,,,,
Piso en alquiler en Calle de San Gerardo,Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),2.100,105,Anuncio actualizado el 11/10/2024,,,Alquiler,105 m²,,3,2,,Más de 50 años,En buen estado,SA2484-3248-24144,4ª,,,,
Piso en alquiler en Tetuan,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2.200,120,Anuncio actualizado el 16/10/2024,,,Alquiler,120 m²,,3,2,,,En buen estado,XA24-2815-008968,2ª,,,,
Ático en alquiler en Galapagar,La Navata (Galapagar),1.750,118,Anuncio actualizado el 06/10/2024,,,Alquiler,118 m²,,4,2,,,,GM34-194939,,,,Exterior,
Piso en alquiler en Pueblo Nuevo,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),1.250,58,Anuncio actualizado el 25/10/2024,,,Alquiler,58 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1913,7ª,,,,
Piso en alquiler en Hellín,Hellín (Distrito San Blas. Madrid Capital),1.060,57,Anuncio actualizado el 13/09/2024,,,Alquiler,57 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1770,3ª,,,,
Piso en alquiler en Entrevías,Entrevías (Distrito Puente de Vallecas. Madrid Capital),900,50,Anuncio actualizado el 04/09/2024,,,Alquiler,50 m²,,2,1,,,En buen estado,SA3458-2001/20010001/847,4ª,,,,
Chalet en alquiler en Alcazaba-Hueros,Villalbilla,2.000,279,Anuncio actualizado el 18/06/2024,,,Alquiler,279 m²,,4,3,,Entre 20 y 30 años,,SA327-MAD02-00408/6232,,,,,
Ático en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),19.000,280,Anuncio actualizado el 21/05/2024,,,Alquiler,280 m²,,4,5,,,,IF77045-I-00KXRN-W-02VDW2,9ª,,,,
Apartamento en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),2.500,131,Anuncio actualizado el 23/10/2024,,,Alquiler,131 m²,,2,1,,Más de 50 años,,IF77045-I-00KY95-W-02VLCY,,,,,
Piso en alquiler en Atalaya,Atalaya (Distrito Ciudad Lineal. Madrid Capital),3.600,266,Anuncio actualizado el 28/10/2024,,,Alquiler,266 m²,216 m²,5,4,,Entre 30 y 50 años,En buen estado,SA3051-08180,2ª,,,,
Piso en alquiler en Rejas,Rejas (Distrito San Blas. Madrid Capital),1.500,110,Anuncio actualizado el 27/10/2024,Consumo:185 kWh/m² año,Emisiones:176 Kg CO₂/m² año,Alquiler,110 m²,,3,2,,Entre 20 y 30 años,En buen estado,TC856-598717,5ª,,,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),920,49,Anuncio actualizado el 18/10/2024,,,Alquiler,49 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1818,1ª,,,,
Apartamento en alquiler en Cortes-Huertas,Cortes-Huertas (Distrito Centro. Madrid Capital),2.400,54,Anuncio actualizado el 24/10/2024,Consumo:185 kWh/m² año,Emisiones:40 Kg CO₂/m² año,Alquiler,54 m²,,2,1,,Entre 30 y 50 años,,IF77045-I-00L3QC-W-02WZT1,4ª,,,,
Apartamento en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),2.400,45,Anuncio actualizado el 23/07/2024,,,Alquiler,45 m²,,1,1,,,,IF77045-I-00L1A3-W-02WK4N,1ª,,,,
Chalet adosado en alquiler en El Soto,La Moraleja (La Moraleja),3.600,220,Anuncio actualizado el 08/10/2024,,,Alquiler,220 m²,210 m²,4,3,,Entre 30 y 50 años,Reformado,1794-001169,,Incluídos,,,
Piso en alquiler en Latina,Aluche (Distrito Latina. Madrid Capital),850,65,Anuncio actualizado el 22/10/2024,,,Alquiler,65 m²,,3,1,,,En buen estado,XA24-2808-021391,4ª,,,,
Estudio en alquiler en Sol,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.150,45,Anuncio actualizado el 13/09/2024,,,Alquiler,45 m²,40 m²,1,1,,Más de 50 años,,VE112-C0141-00148,,,,,
Loft en alquiler en Avenida del Cerro del Águila,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),1.300,95,Anuncio actualizado el 24/10/2024,,,Alquiler,95 m²,,1,1,,,,IF77045-I-00L469-W-02XI9Q,1ª,,,,
Casa adosada en alquiler en Casco Histórico,Casco Histórico (Distrito Centro. Alcalá de Henares),2.000,300,Anuncio actualizado el 20/10/2024,,,Alquiler,300 m²,,3,2,Adosada,Más de 50 años,En buen estado,SA2459-GPF-19123,,,,,
Apartamento en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),5.400,180,Anuncio actualizado el 11/07/2024,,,Alquiler,180 m²,,2,2,,,,IF77045-I-00L0X5-W-02WF9R,,,,,
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),1.010,74,Anuncio actualizado el 03/10/2024,,,Alquiler,74 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1889,1ª,,,,
Estudio en alquiler en Calle de Santa Lucía,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.300,40,Anuncio actualizado el 11/07/2024,,,Alquiler,40 m²,,1,1,,,,SA4312-seb_psl/9940,Bajo,,,,
Piso en alquiler en Encinar de los Reyes,Encinar de los Reyes (La Moraleja),2.700,138,Anuncio actualizado el 28/10/2024,,,Alquiler,138 m²,120 m²,3,2,,,,SA3051-07691,1ª,,,,
Piso en alquiler en Calle del Calcio,Butarque (Distrito Villaverde. Madrid Capital),830,29,Anuncio actualizado el 28/10/2024,,,Alquiler,29 m²,,,,,,,XA614-12775,3ª,,,,
Piso en alquiler en Centro Casco Antiguo Torrelodones,Los Ángeles-Jarandilla (Torrelodones),1.590,100,Anuncio actualizado el 24/09/2024,Consumo:49 kWh/m² año,Emisiones:10 Kg CO₂/m² año,Alquiler,100 m²,,3,2,,Entre 5 y 10 años,En buen estado,IF6229-A-1349,1ª,,,,
Estudio en alquiler en Arganzuela,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),995,36,Anuncio actualizado el 22/10/2024,,,Alquiler,36 m²,,,1,,,En buen estado,XA24-2818-032230,,,,,
Piso en alquiler en Pradolongo,Pradolongo (Distrito Usera. Madrid Capital),875,47,Anuncio actualizado el 01/07/2024,,,Alquiler,47 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1460,1ª,,,,
Piso en alquiler en Moncloa-Aravaca,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),1.500,50,Anuncio actualizado el 18/10/2024,,,Alquiler,50 m²,,1,1,,,En buen estado,XA24-2802-032161,5ª,,,,
Piso en alquiler en Moratalaz,Horcajo (Distrito Moratalaz. Madrid Capital),1.250,70,Anuncio actualizado el 28/10/2024,,,Alquiler,70 m²,,2,2,,,En buen estado,XA24-2817-019825,3ª,,,,
Piso en alquiler en Calle de la Antracita,Legazpi (Distrito Arganzuela. Madrid Capital),1.289,60,Anuncio actualizado el 18/10/2024,,,Alquiler,60 m²,,1,1,,Entre 10 y 20 años,,SA4312-Sofi-Antracita1D/9940,6ª,,,,
"Piso en alquiler en Calle de las Cuevas de Altamira, 2",Buenavista (Distrito Carabanchel. Madrid Capital),945,76,Anuncio actualizado el 14/10/2024,,,Alquiler,76 m²,,1,1,,,En buen estado,SA5100-2200/22000634/00000025,4ª,,,,
Dúplex en alquiler en Calle de José Sánchez Rubio,Los Ángeles-Jarandilla (Torrelodones),1.550,100,Anuncio actualizado el 28/10/2024,,,Alquiler,100 m²,100 m²,3,2,,Entre 10 y 20 años,En buen estado,4996331-ZEN-2c,2ª,,,,
Piso en alquiler en Palos de Moguer,Palos de Moguer (Distrito Arganzuela. Madrid Capital),830,35,Anuncio actualizado el 15/07/2024,,,Alquiler,35 m²,,1,1,,,En buen estado,SA4376-2110/21100022/252,Bajo,,,,
Piso en alquiler en Guindalera,Guindalera (Distrito Salamanca. Madrid Capital),2.350,170,Anuncio actualizado el 28/10/2024,,,Alquiler,170 m²,158 m²,4,3,,Más de 50 años,En buen estado,SA3051-08152,3ª,,,,
Apartamento en alquiler en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),2.500,110,Anuncio actualizado el 14/10/2024,,,Alquiler,110 m²,,3,2,,,,IF77045-I-00L3H3-W-02W4G2,4ª,,,,
Piso en alquiler en Almendrales,Almendrales (Distrito Usera. Madrid Capital),1.300,44,Anuncio actualizado el 23/09/2024,,,Alquiler,44 m²,,1,1,,Entre 30 y 50 años,,IF77045-I-00L333-W-02X4VL,3ª,,,,
Casa en alquiler en Yucatán-La Cornisa,Yucatán-La Cornisa (Las Rozas de Madrid),4.300,369,Anuncio actualizado el 09/10/2024,,,Alquiler,369 m²,,5,4,,Entre 20 y 30 años,,IF77045-I-00L3A9-W-02X699,,,,,
Apartamento en alquiler en Calle de Carmen Cobeña,Acacias (Distrito Arganzuela. Madrid Capital),2.200,100,Anuncio actualizado el 21/10/2024,Consumo:54 kWh/m² año,Emisiones:11 Kg CO₂/m² año,Alquiler,100 m²,,2,2,,Menos de 5 años,,IF77045-I-00L2KT-W-02WZ6D,,,,,
Piso en alquiler en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),1.650,80,Anuncio actualizado el 28/10/2024,,,Alquiler,80 m²,70 m²,2,2,,,En buen estado,SA3051-07912,7ª,,,,
